# time passed	number of events	interval average	total
7.5	232.0	30.933333333333334	232.0
15.0	240.0	32.0	472.0
22.5	245.0	32.666666666666664	717.0
30.0	226.0	30.133333333333333	943.0
37.5	223.0	29.733333333333334	1166.0
45.0	218.0	29.066666666666666	1384.0
52.5	207.0	27.6	1591.0
60.0	235.0	31.333333333333332	1826.0
67.5	260.0	34.666666666666664	2086.0
75.0	218.0	29.066666666666666	2304.0
82.5	207.0	27.6	2511.0
90.0	259.0	34.53333333333333	2770.0
97.5	245.0	32.666666666666664	3015.0
105.0	269.0	35.86666666666667	3284.0
112.5	229.0	30.533333333333335	3513.0
120.0	246.0	32.8	3759.0
127.5	234.0	31.2	3993.0
135.0	232.0	30.933333333333334	4225.0
142.5	213.0	28.4	4438.0
150.0	230.0	30.666666666666668	4668.0
157.5	237.0	31.6	4905.0
165.0	226.0	30.133333333333333	5131.0
172.5	242.0	32.266666666666666	5373.0
180.0	238.0	31.733333333333334	5611.0
187.5	249.0	33.2	5860.0
195.0	202.0	26.933333333333334	6062.0
202.5	246.0	32.8	6308.0
210.0	244.0	32.53333333333333	6552.0
217.5	226.0	30.133333333333333	6778.0
225.0	215.0	28.666666666666668	6993.0
232.5	273.0	36.4	7266.0
240.0	236.0	31.466666666666665	7502.0
247.5	248.0	33.06666666666667	7750.0
255.0	213.0	28.4	7963.0
262.5	226.0	30.133333333333333	8189.0
270.0	224.0	29.866666666666667	8413.0
277.5	237.0	31.6	8650.0
285.0	230.0	30.666666666666668	8880.0
292.5	256.0	34.13333333333333	9136.0
300.0	230.0	30.666666666666668	9366.0
307.5	240.0	32.0	9606.0
315.0	243.0	32.4	9849.0
322.5	232.0	30.933333333333334	10081.0
330.0	237.0	31.6	10318.0
337.5	230.0	30.666666666666668	10548.0
345.0	222.0	29.6	10770.0
352.5	237.0	31.6	11007.0
360.0	230.0	30.666666666666668	11237.0
367.5	240.0	32.0	11477.0
375.0	235.0	31.333333333333332	11712.0
382.5	240.0	32.0	11952.0
390.0	232.0	30.933333333333334	12184.0
397.5	222.0	29.6	12406.0
405.0	244.0	32.53333333333333	12650.0
412.5	234.0	31.2	12884.0
420.0	253.0	33.733333333333334	13137.0
427.5	257.0	34.266666666666666	13394.0
435.0	241.0	32.13333333333333	13635.0
442.5	234.0	31.2	13869.0
450.0	234.0	31.2	14103.0
457.5	232.0	30.933333333333334	14335.0
465.0	224.0	29.866666666666667	14559.0
472.5	257.0	34.266666666666666	14816.0
480.0	222.0	29.6	15038.0
487.5	228.0	30.4	15266.0
495.0	232.0	30.933333333333334	15498.0
502.5	228.0	30.4	15726.0
510.0	193.0	25.733333333333334	15919.0
517.5	239.0	31.866666666666667	16158.0
525.0	241.0	32.13333333333333	16399.0
532.5	250.0	33.333333333333336	16649.0
540.0	244.0	32.53333333333333	16893.0
547.5	224.0	29.866666666666667	17117.0
555.0	249.0	33.2	17366.0
562.5	238.0	31.733333333333334	17604.0
570.0	214.0	28.533333333333335	17818.0
577.5	262.0	34.93333333333333	18080.0
585.0	232.0	30.933333333333334	18312.0
592.5	233.0	31.066666666666666	18545.0
600.0	212.0	28.266666666666666	18757.0
607.5	229.0	30.533333333333335	18986.0
615.0	221.0	29.466666666666665	19207.0
622.5	236.0	31.466666666666665	19443.0
630.0	249.0	33.2	19692.0
637.5	231.0	30.8	19923.0
645.0	237.0	31.6	20160.0
652.5	269.0	35.86666666666667	20429.0
660.0	255.0	34.0	20684.0
667.5	246.0	32.8	20930.0
675.0	218.0	29.066666666666666	21148.0
682.5	228.0	30.4	21376.0
690.0	232.0	30.933333333333334	21608.0
697.5	251.0	33.46666666666667	21859.0
705.0	216.0	28.8	22075.0
712.5	233.0	31.066666666666666	22308.0
720.0	217.0	28.933333333333334	22525.0
727.5	222.0	29.6	22747.0
735.0	215.0	28.666666666666668	22962.0
742.5	209.0	27.866666666666667	23171.0
750.0	232.0	30.933333333333334	23403.0
757.5	236.0	31.466666666666665	23639.0
765.0	226.0	30.133333333333333	23865.0
772.5	247.0	32.93333333333333	24112.0
780.0	253.0	33.733333333333334	24365.0
787.5	212.0	28.266666666666666	24577.0
795.0	255.0	34.0	24832.0
802.5	231.0	30.8	25063.0
810.0	231.0	30.8	25294.0
817.5	240.0	32.0	25534.0
825.0	224.0	29.866666666666667	25758.0
832.5	231.0	30.8	25989.0
840.0	233.0	31.066666666666666	26222.0
847.5	246.0	32.8	26468.0
855.0	220.0	29.333333333333332	26688.0
862.5	265.0	35.333333333333336	26953.0
870.0	246.0	32.8	27199.0
877.5	263.0	35.06666666666667	27462.0
885.0	243.0	32.4	27705.0
892.5	240.0	32.0	27945.0
900.0	225.0	30.0	28170.0
907.5	237.0	31.6	28407.0
915.0	240.0	32.0	28647.0
922.5	235.0	31.333333333333332	28882.0
930.0	219.0	29.2	29101.0
937.5	233.0	31.066666666666666	29334.0
945.0	266.0	35.46666666666667	29600.0
952.5	232.0	30.933333333333334	29832.0
960.0	252.0	33.6	30084.0
967.5	247.0	32.93333333333333	30331.0
975.0	223.0	29.733333333333334	30554.0
982.5	216.0	28.8	30770.0
990.0	222.0	29.6	30992.0
997.5	239.0	31.866666666666667	31231.0
1005.0	240.0	32.0	31471.0
1012.5	226.0	30.133333333333333	31697.0
1020.0	235.0	31.333333333333332	31932.0
1027.5	239.0	31.866666666666667	32171.0
1035.0	248.0	33.06666666666667	32419.0
1042.5	275.0	36.666666666666664	32694.0
1050.0	261.0	34.8	32955.0
1057.5	253.0	33.733333333333334	33208.0
1065.0	227.0	30.266666666666666	33435.0
1072.5	231.0	30.8	33666.0
1080.0	231.0	30.8	33897.0
1087.5	227.0	30.266666666666666	34124.0
1095.0	224.0	29.866666666666667	34348.0
1102.5	253.0	33.733333333333334	34601.0
1110.0	243.0	32.4	34844.0
1117.5	231.0	30.8	35075.0
1125.0	234.0	31.2	35309.0
1132.5	246.0	32.8	35555.0
1140.0	226.0	30.133333333333333	35781.0
1147.5	229.0	30.533333333333335	36010.0
1155.0	226.0	30.133333333333333	36236.0
1162.5	245.0	32.666666666666664	36481.0
1170.0	225.0	30.0	36706.0
1177.5	244.0	32.53333333333333	36950.0
1185.0	267.0	35.6	37217.0
1192.5	213.0	28.4	37430.0
1200.0	222.0	29.6	37652.0
1207.5	222.0	29.6	37874.0
1215.0	223.0	29.733333333333334	38097.0
1222.5	265.0	35.333333333333336	38362.0
1230.0	232.0	30.933333333333334	38594.0
1237.5	232.0	30.933333333333334	38826.0
1245.0	217.0	28.933333333333334	39043.0
1252.5	260.0	34.666666666666664	39303.0
1260.0	230.0	30.666666666666668	39533.0
1267.5	257.0	34.266666666666666	39790.0
1275.0	202.0	26.933333333333334	39992.0
1282.5	233.0	31.066666666666666	40225.0
1290.0	232.0	30.933333333333334	40457.0
1297.5	258.0	34.4	40715.0
1305.0	231.0	30.8	40946.0
1312.5	231.0	30.8	41177.0
1320.0	234.0	31.2	41411.0
1327.5	224.0	29.866666666666667	41635.0
1335.0	226.0	30.133333333333333	41861.0
1342.5	241.0	32.13333333333333	42102.0
1350.0	242.0	32.266666666666666	42344.0
1357.5	225.0	30.0	42569.0
1365.0	230.0	30.666666666666668	42799.0
1372.5	223.0	29.733333333333334	43022.0
1380.0	242.0	32.266666666666666	43264.0
1387.5	214.0	28.533333333333335	43478.0
1395.0	215.0	28.666666666666668	43693.0
1402.5	237.0	31.6	43930.0
1410.0	227.0	30.266666666666666	44157.0
1417.5	217.0	28.933333333333334	44374.0
1425.0	222.0	29.6	44596.0
1432.5	251.0	33.46666666666667	44847.0
1440.0	215.0	28.666666666666668	45062.0
1447.5	227.0	30.266666666666666	45289.0
1455.0	250.0	33.333333333333336	45539.0
1462.5	246.0	32.8	45785.0
1470.0	222.0	29.6	46007.0
1477.5	233.0	31.066666666666666	46240.0
1485.0	235.0	31.333333333333332	46475.0
1492.5	212.0	28.266666666666666	46687.0
1500.0	212.0	28.266666666666666	46899.0
1507.5	243.0	32.4	47142.0
1515.0	233.0	31.066666666666666	47375.0
1522.5	226.0	30.133333333333333	47601.0
1530.0	237.0	31.6	47838.0
1537.5	221.0	29.466666666666665	48059.0
1545.0	231.0	30.8	48290.0
1552.5	203.0	27.066666666666666	48493.0
1560.0	235.0	31.333333333333332	48728.0
1567.5	228.0	30.4	48956.0
1575.0	241.0	32.13333333333333	49197.0
1582.5	216.0	28.8	49413.0
1590.0	253.0	33.733333333333334	49666.0
1597.5	237.0	31.6	49903.0
1605.0	227.0	30.266666666666666	50130.0
1612.5	228.0	30.4	50358.0
1620.0	227.0	30.266666666666666	50585.0
1627.5	215.0	28.666666666666668	50800.0
1635.0	220.0	29.333333333333332	51020.0
1642.5	236.0	31.466666666666665	51256.0
1650.0	244.0	32.53333333333333	51500.0
1657.5	223.0	29.733333333333334	51723.0
1665.0	245.0	32.666666666666664	51968.0
1672.5	229.0	30.533333333333335	52197.0
1680.0	218.0	29.066666666666666	52415.0
1687.5	225.0	30.0	52640.0
1695.0	230.0	30.666666666666668	52870.0
1702.5	227.0	30.266666666666666	53097.0
1710.0	242.0	32.266666666666666	53339.0
1717.5	222.0	29.6	53561.0
1725.0	271.0	36.13333333333333	53832.0
1732.5	257.0	34.266666666666666	54089.0
1740.0	259.0	34.53333333333333	54348.0
1747.5	257.0	34.266666666666666	54605.0
1755.0	247.0	32.93333333333333	54852.0
1762.5	276.0	36.8	55128.0
1770.0	215.0	28.666666666666668	55343.0
1777.5	238.0	31.733333333333334	55581.0
1785.0	222.0	29.6	55803.0
1792.5	235.0	31.333333333333332	56038.0
1800.0	241.0	32.13333333333333	56279.0
1807.5	247.0	32.93333333333333	56526.0
1815.0	245.0	32.666666666666664	56771.0
1822.5	237.0	31.6	57008.0
1830.0	227.0	30.266666666666666	57235.0
1837.5	264.0	35.2	57499.0
1845.0	254.0	33.86666666666667	57753.0
1852.5	224.0	29.866666666666667	57977.0
1860.0	217.0	28.933333333333334	58194.0
1867.5	233.0	31.066666666666666	58427.0
1875.0	219.0	29.2	58646.0
1882.5	225.0	30.0	58871.0
1890.0	249.0	33.2	59120.0
1897.5	239.0	31.866666666666667	59359.0
1905.0	243.0	32.4	59602.0
1912.5	230.0	30.666666666666668	59832.0
1920.0	216.0	28.8	60048.0
1927.5	261.0	34.8	60309.0
1935.0	244.0	32.53333333333333	60553.0
1942.5	235.0	31.333333333333332	60788.0
1950.0	244.0	32.53333333333333	61032.0
1957.5	205.0	27.333333333333332	61237.0
1965.0	231.0	30.8	61468.0
1972.5	236.0	31.466666666666665	61704.0
1980.0	214.0	28.533333333333335	61918.0
1987.5	225.0	30.0	62143.0
1995.0	247.0	32.93333333333333	62390.0
2002.5	243.0	32.4	62633.0
2010.0	231.0	30.8	62864.0
2017.5	220.0	29.333333333333332	63084.0
2025.0	214.0	28.533333333333335	63298.0
2032.5	242.0	32.266666666666666	63540.0
2040.0	236.0	31.466666666666665	63776.0
2047.5	250.0	33.333333333333336	64026.0
2055.0	243.0	32.4	64269.0
2062.5	172.0	22.933333333333334	64441.0
2070.0	230.0	30.666666666666668	64671.0
2077.5	256.0	34.13333333333333	64927.0
2085.0	235.0	31.333333333333332	65162.0
2092.5	244.0	32.53333333333333	65406.0
2100.0	256.0	34.13333333333333	65662.0
2107.5	231.0	30.8	65893.0
2115.0	233.0	31.066666666666666	66126.0
2122.5	243.0	32.4	66369.0
2130.0	237.0	31.6	66606.0
2137.5	215.0	28.666666666666668	66821.0
2145.0	242.0	32.266666666666666	67063.0
2152.5	240.0	32.0	67303.0
2160.0	220.0	29.333333333333332	67523.0
2167.5	263.0	35.06666666666667	67786.0
2175.0	236.0	31.466666666666665	68022.0
2182.5	231.0	30.8	68253.0
2190.0	256.0	34.13333333333333	68509.0
2197.5	238.0	31.733333333333334	68747.0
2205.0	238.0	31.733333333333334	68985.0
2212.5	230.0	30.666666666666668	69215.0
2220.0	219.0	29.2	69434.0
2227.5	229.0	30.533333333333335	69663.0
2235.0	231.0	30.8	69894.0
2242.5	211.0	28.133333333333333	70105.0
2250.0	233.0	31.066666666666666	70338.0
2257.5	255.0	34.0	70593.0
2265.0	243.0	32.4	70836.0
2272.5	252.0	33.6	71088.0
2280.0	237.0	31.6	71325.0
2287.5	244.0	32.53333333333333	71569.0
2295.0	222.0	29.6	71791.0
2302.5	237.0	31.6	72028.0
2310.0	239.0	31.866666666666667	72267.0
2317.5	214.0	28.533333333333335	72481.0
2325.0	208.0	27.733333333333334	72689.0
2332.5	233.0	31.066666666666666	72922.0
2340.0	260.0	34.666666666666664	73182.0
2347.5	220.0	29.333333333333332	73402.0
2355.0	238.0	31.733333333333334	73640.0
2362.5	258.0	34.4	73898.0
2370.0	233.0	31.066666666666666	74131.0
2377.5	237.0	31.6	74368.0
2385.0	238.0	31.733333333333334	74606.0
2392.5	220.0	29.333333333333332	74826.0
2400.0	242.0	32.266666666666666	75068.0
2407.5	250.0	33.333333333333336	75318.0
2415.0	223.0	29.733333333333334	75541.0
2422.5	216.0	28.8	75757.0
2430.0	225.0	30.0	75982.0
2437.5	229.0	30.533333333333335	76211.0
2445.0	224.0	29.866666666666667	76435.0
2452.5	211.0	28.133333333333333	76646.0
2460.0	243.0	32.4	76889.0
2467.5	238.0	31.733333333333334	77127.0
2475.0	237.0	31.6	77364.0
2482.5	229.0	30.533333333333335	77593.0
2490.0	243.0	32.4	77836.0
2497.5	227.0	30.266666666666666	78063.0
2505.0	259.0	34.53333333333333	78322.0
2512.5	224.0	29.866666666666667	78546.0
2520.0	231.0	30.8	78777.0
2527.5	225.0	30.0	79002.0
2535.0	218.0	29.066666666666666	79220.0
2542.5	248.0	33.06666666666667	79468.0
2550.0	250.0	33.333333333333336	79718.0
2557.5	256.0	34.13333333333333	79974.0
2565.0	223.0	29.733333333333334	80197.0
2572.5	240.0	32.0	80437.0
2580.0	240.0	32.0	80677.0
2587.5	238.0	31.733333333333334	80915.0
2595.0	256.0	34.13333333333333	81171.0
2602.5	235.0	31.333333333333332	81406.0
2610.0	244.0	32.53333333333333	81650.0
2617.5	250.0	33.333333333333336	81900.0
2625.0	226.0	30.133333333333333	82126.0
2632.5	249.0	33.2	82375.0
2640.0	244.0	32.53333333333333	82619.0
2647.5	254.0	33.86666666666667	82873.0
2655.0	262.0	34.93333333333333	83135.0
2662.5	211.0	28.133333333333333	83346.0
2670.0	242.0	32.266666666666666	83588.0
2677.5	235.0	31.333333333333332	83823.0
2685.0	232.0	30.933333333333334	84055.0
2692.5	240.0	32.0	84295.0
2700.0	228.0	30.4	84523.0
2707.5	233.0	31.066666666666666	84756.0
2715.0	257.0	34.266666666666666	85013.0
2722.5	217.0	28.933333333333334	85230.0
2730.0	272.0	36.266666666666666	85502.0
2737.5	253.0	33.733333333333334	85755.0
2745.0	215.0	28.666666666666668	85970.0
2752.5	212.0	28.266666666666666	86182.0
2760.0	221.0	29.466666666666665	86403.0
2767.5	240.0	32.0	86643.0
2775.0	257.0	34.266666666666666	86900.0
2782.5	245.0	32.666666666666664	87145.0
2790.0	245.0	32.666666666666664	87390.0
2797.5	256.0	34.13333333333333	87646.0
2805.0	234.0	31.2	87880.0
2812.5	226.0	30.133333333333333	88106.0
2820.0	256.0	34.13333333333333	88362.0
2827.5	240.0	32.0	88602.0
2835.0	219.0	29.2	88821.0
2842.5	268.0	35.733333333333334	89089.0
2850.0	210.0	28.0	89299.0
2857.5	236.0	31.466666666666665	89535.0
2865.0	221.0	29.466666666666665	89756.0
2872.5	244.0	32.53333333333333	90000.0
2880.0	199.0	26.533333333333335	90199.0
2887.5	235.0	31.333333333333332	90434.0
2895.0	235.0	31.333333333333332	90669.0
2902.5	228.0	30.4	90897.0
2910.0	242.0	32.266666666666666	91139.0
2917.5	234.0	31.2	91373.0
2925.0	254.0	33.86666666666667	91627.0
2932.5	245.0	32.666666666666664	91872.0
2940.0	231.0	30.8	92103.0
2947.5	243.0	32.4	92346.0
2955.0	222.0	29.6	92568.0
2962.5	245.0	32.666666666666664	92813.0
2970.0	216.0	28.8	93029.0
2977.5	249.0	33.2	93278.0
2985.0	226.0	30.133333333333333	93504.0
2992.5	213.0	28.4	93717.0
3000.0	218.0	29.066666666666666	93935.0
3007.5	211.0	28.133333333333333	94146.0
3015.0	245.0	32.666666666666664	94391.0
